country,decade,population
Netherlands,1780.0,2e6
Netherlands,1790.0,2e6
Netherlands,1800.0,2e6
Netherlands,1810.0,2325e3
Netherlands,1820.0,265e4
Netherlands,1830.0,2975e3
Netherlands,1840.0,33e5
Netherlands,1850.0,3625e3
Netherlands,1860.0,395e4
Netherlands,1870.0,4275e3
Netherlands,1880.0,46e5
Netherlands,1890.0,4925e3
Netherlands,1900.0,525e4
Northern Ireland,1300.0,132e3
Northern Ireland,1310.0,128700.0
Northern Ireland,1320.0,125400.0
Northern Ireland,1330.0,122100.0
Northern Ireland,1340.0,118800.0
Northern Ireland,1350.0,115500.0
Northern Ireland,1360.0,112200.0
Northern Ireland,1370.0,108900.0
Northern Ireland,1380.0,105600.0
Northern Ireland,1390.0,102300.0
Northern Ireland,1400.0,99e3
Northern Ireland,1410.0,102300.0
Northern Ireland,1420.0,105600.0
Northern Ireland,1430.0,108900.0
Northern Ireland,1440.0,112200.0
Northern Ireland,1450.0,115500.0
Northern Ireland,1460.0,118800.0
Northern Ireland,1470.0,122100.0
Northern Ireland,1480.0,125400.0
Northern Ireland,1490.0,128700.0
Northern Ireland,1500.0,132e3
Northern Ireland,1510.0,139425.0
Northern Ireland,1520.0,146850.0
Northern Ireland,1530.0,154275.0
Northern Ireland,1540.0,161700.0
Northern Ireland,1550.0,169125.0
Northern Ireland,1560.0,176550.0
Northern Ireland,1570.0,183975.0
Northern Ireland,1580.0,191400.0
Northern Ireland,1590.0,198825.0
Northern Ireland,1600.0,206250.0
Northern Ireland,1610.0,226875.0
Northern Ireland,1620.0,247500.0
Northern Ireland,1630.0,268125.0
Northern Ireland,1640.0,288750.0
Northern Ireland,1650.0,309375.0
Northern Ireland,1660.0,33e4
Northern Ireland,1670.0,350625.0
Northern Ireland,1680.0,371250.0
Northern Ireland,1690.0,391875.0
Northern Ireland,1700.0,412500.0
Northern Ireland,1710.0,457875.0
Northern Ireland,1720.0,503250.0
Northern Ireland,1730.0,548625.0
Northern Ireland,1740.0,594e3
Northern Ireland,1750.0,639375.0
Northern Ireland,1760.0,684750.0
Northern Ireland,1770.0,730125.0
Northern Ireland,1780.0,775500.0
Northern Ireland,1790.0,820875.0
Northern Ireland,1800.0,866250.0
Northern Ireland,1810.0,853875.0
Northern Ireland,1820.0,841500.0
Northern Ireland,1830.0,829125.0
Northern Ireland,1840.0,816750.0
Northern Ireland,1850.0,804375.0
Northern Ireland,1860.0,792e3
Northern Ireland,1870.0,779625.0
Northern Ireland,1880.0,767250.0
Northern Ireland,1890.0,754875.0
Northern Ireland,1900.0,742500.0
Norway,1300.0,4e5
Norway,1310.0,39e4
Norway,1320.0,38e4
Norway,1330.0,37e4
Norway,1340.0,36e4
Norway,1350.0,35e4
Norway,1360.0,34e4
Norway,1370.0,33e4
Norway,1380.0,32e4
Norway,1390.0,31e4
Norway,1400.0,3e5
Norway,1410.0,31e4
Norway,1420.0,32e4
Norway,1430.0,33e4
Norway,1440.0,34e4
Norway,1450.0,35e4
Norway,1460.0,36e4
Norway,1470.0,37e4
Norway,1480.0,38e4
Norway,1490.0,39e4
Norway,1500.0,4e5
Norway,1510.0,41e4
Norway,1520.0,42e4
Norway,1530.0,43e4
Norway,1540.0,44e4
Norway,1550.0,45e4
Norway,1560.0,46e4
Norway,1570.0,47e4
Norway,1580.0,48e4
