country,decade,century,trials,battles,population,trials.mil,battles.mil,ln.trials,ln.trials.mil,ln1p.trials,ln1p.trials.mil,battles.tp1,battles.tp2,battles.tp3,battles.mil.tp1,battles.mil.tp2,battles.mil.tp3,weather,urbanization,real.wage,taxes.percap,temperature
Belgium,1390.0,1300.0,0.0,0.0,779090.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,15.705,13.53095511,NA,NA
Belgium,1400.0,1400.0,0.0,0.0,737600.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,14.59158139,NA,NA
Belgium,1410.0,1400.0,1.0,0.0,779090.0,1.284,0.0,0.0,0.24998020526776946,0.6931471805599453,0.8259282917937638,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,11.726857463,NA,NA
Belgium,1420.0,1400.0,0.0,0.0,820580.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,11.571082971,NA,NA
Belgium,1430.0,1400.0,0.0,0.0,862070.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,10.8469180937,NA,NA
Belgium,1440.0,1400.0,0.0,0.0,903560.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,13.353553910999999,NA,NA
Belgium,1450.0,1400.0,2.0,0.0,945050.0,2.116,0.0,0.6931471805599453,0.749527513996053,1.0986122886681098,1.136550128008502,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,14.103331956,NA,NA
Belgium,1460.0,1400.0,9.0,0.0,986540.0,9.123,0.0,2.1972245773362196,2.2107986973633373,2.302585092994046,2.3148100626166146,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,15.668983865,NA,NA
Belgium,1470.0,1400.0,2.0,0.0,1028030.0,1.945,0.0,0.6931471805599453,0.6652619770704097,1.0986122886681098,1.08010881710355,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,13.864357573,NA,NA
Belgium,1480.0,1400.0,0.0,0.0,1069520.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,9.639375469400001,NA,NA
Belgium,1490.0,1400.0,2.0,0.0,1111010.0,1.8,0.0,0.6931471805599453,0.5877866649021191,1.0986122886681098,1.0296194171811583,0.0,0.0,0.0,0.0,0.0,0.0,NA,48.265,11.935221872,NA,NA
Belgium,1500.0,1500.0,4.0,0.0,1152500.0,3.471,0.0,1.3862943611198906,1.2444427368796493,1.6094379124341003,1.4976120972518436,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.679,12.324181633,NA,1.0215962145716317
Belgium,1510.0,1500.0,18.0,0.0,1175550.0,15.312,0.0,2.8903717578961645,2.7286368347105983,2.9444389791664403,2.791901033272154,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.679,12.753021179,NA,-0.5694433287605333
Belgium,1520.0,1500.0,23.0,0.0,1198600.0,19.189,0.0,3.1354942159291497,2.954337198187605,3.1780538303479458,3.005137901628087,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.679,11.097996406,NA,1.0180526966577534
Belgium,1530.0,1500.0,23.0,0.0,1221650.0,18.827,0.0,3.1354942159291497,2.9352920097425748,3.1780538303479458,2.9870446451564256,0.0,0.0,2.0,0.0,0.0,1.549,NA,27.679,11.018746567700001,NA,1.80117015562525
Belgium,1540.0,1500.0,44.0,0.0,1244700.0,35.35,0.0,3.784189633918261,3.565298392342582,3.8066624897703196,3.5931942039795284,0.0,2.0,9.0,0.0,1.549,6.85,NA,27.679,12.711083091,NA,0.3022620780539669
Belgium,1550.0,1500.0,46.0,0.0,1267750.0,36.285,0.0,3.828641396489095,3.5914044327301,3.8501476017100584,3.618591100995758,2.0,9.0,7.0,1.549,6.85,5.236,NA,27.679,10.5000919877,NA,1.0605749116243102
Belgium,1560.0,1500.0,36.0,2.0,1290800.0,27.89,1.549,3.58351893845611,3.3282682016393976,3.6109179126442243,3.363495514478144,9.0,7.0,1.0,6.85,5.236,0.735,NA,27.679,13.324570903,NA,-0.4241590942914479
Belgium,1570.0,1500.0,13.0,9.0,1313850.0,9.895,6.85,2.5649493574615367,2.292029579054529,2.6390573296152584,2.388303968396583,7.0,1.0,2.0,5.236,0.735,1.446,NA,27.679,10.5219771188,NA,-0.7607932961100597
Belgium,1580.0,1500.0,46.0,7.0,1336900.0,34.408,5.236,3.828641396489095,3.5382890954814354,3.8501476017100584,3.5669377833086937,1.0,2.0,0.0,0.735,1.446,0.0,NA,27.679,11.3540124235,NA,-0.35683225392773177
Belgium,1590.0,1500.0,114.0,1.0,1359950.0,83.827,0.735,4.736198448394496,4.428755151298205,4.74493212836325,4.440613888346951,2.0,0.0,1.0,1.446,0.0,0.7,NA,27.679,10.5430142512,NA,-0.6757488661769404
Belgium,1600.0,1600.0,165.0,2.0,1383e3,119.306,1.446,5.10594547390058,4.78169162121724,5.111987788356544,4.790038497048622,0.0,1.0,3.0,0.0,0.7,2.066,NA,20.68,13.2947386989,NA,-0.17965635823372417
Belgium,1610.0,1600.0,145.0,0.0,1406050.0,103.126,0.0,4.976733742420574,4.635951541577527,4.983606621708336,4.645601704282427,1.0,3.0,0.0,0.7,2.066,0.0,NA,20.68,13.532844973,NA,0.5219601887145373
Belgium,1620.0,1600.0,94.0,1.0,1429100.0,65.776,0.7,4.543294782270004,4.186255030155523,4.553876891600541,4.201343734548436,3.0,0.0,0.0,2.066,0.0,0.0,NA,20.68,10.8077498709,NA,-0.4135285405498134
Belgium,1630.0,1600.0,61.0,3.0,1452150.0,42.007,2.066,4.110873864173311,3.737836271062689,4.127134385045092,3.761362893142269,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,9.4654731183,NA,0.9259212308968653
Belgium,1640.0,1600.0,17.0,0.0,1475200.0,11.524,0.0,2.833213344056216,2.444431817222282,2.8903717578961645,2.527646803464159,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,9.4647557853,NA,-0.04854619542015755
Belgium,1650.0,1600.0,13.0,0.0,1498250.0,8.677,0.0,2.5649493574615367,2.1606758468113525,2.6390573296152584,2.2697519358988054,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,10.0291342568,NA,0.06484637782400579
Belgium,1660.0,1600.0,6.0,0.0,1521300.0,3.944,0.0,1.791759469228055,1.372195436740389,1.9459101490553132,1.5981747201553895,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,10.260528506,NA,0.10736859279056234
Belgium,1670.0,1600.0,1.0,0.0,1544350.0,0.648,0.0,0.0,-0.4338645826298623,0.6931471805599453,0.49956243148727997,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,10.7263400049,NA,-0.6615747945214152
Belgium,1680.0,1600.0,1.0,0.0,1567400.0,0.638,0.0,0.0,-0.44941699563734716,0.6931471805599453,0.4934759854308777,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,12.388454295,NA,0.25619634517352596
Belgium,1690.0,1600.0,0.0,0.0,1590450.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.68,9.5482978925,NA,-2.989666063940642
Belgium,1700.0,1700.0,0.0,0.0,1613500.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,10.4621215682,NA,NA
Belgium,1710.0,1700.0,0.0,0.0,1751800.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,10.812792188,NA,NA
Belgium,1720.0,1700.0,0.0,0.0,1890100.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,11.192611289,NA,NA
Belgium,1730.0,1700.0,0.0,0.0,2028400.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,27.89,11.882795706,NA,NA
