event,lon,lat
Witchcraft trial,12.8311,48.1726
Witchcraft trial,11.4274,47.9102
Witchcraft trial,10.1802,47.9838
Witchcraft trial,10.8704,48.0508
Witchcraft trial,12.8311,48.1726
Witchcraft trial,11.4274,47.9102
Witchcraft trial,10.8704,48.0508
Witchcraft trial,10.4895,48.8508
Witchcraft trial,10.8978,48.3705
Witchcraft trial,12.1181,47.8571
Witchcraft trial,13.4851,48.6148
Witchcraft trial,12.8311,48.1726
Witchcraft trial,11.4258,48.7665
Witchcraft trial,12.1181,47.8571
Witchcraft trial,10.2833,48.4167
Witchcraft trial,12.8311,48.1726
Witchcraft trial,12.1016,49.0134
Witchcraft trial,12.8311,48.1726
Witchcraft trial,10.4895,48.8508
Witchcraft trial,11.582,48.1351
Witchcraft trial,10.2922,47.5743
Witchcraft trial,10.3695,48.5489
Witchcraft trial,12.6384,47.8678
Witchcraft trial,12.6621,49.2239
Witchcraft trial,11.582,48.1351
Witchcraft trial,12.8311,48.1726
Witchcraft trial,11.582,48.1351
Witchcraft trial,10.1561,48.3037
Witchcraft trial,12.8311,48.1726
Witchcraft trial,10.8978,48.3705
Witchcraft trial,10.8978,48.3705
Witchcraft trial,12.0294,48.7012
Witchcraft trial,12.6384,47.8678
Witchcraft trial,12.0294,48.7012
Witchcraft trial,11.4258,48.7665
Witchcraft trial,10.3158,47.7286
Witchcraft trial,10.3158,47.7286
Witchcraft trial,12.8311,48.1726
Witchcraft trial,12.1016,49.0134
Witchcraft trial,10.7778,48.7186
Witchcraft trial,11.4672,49.2773
Witchcraft trial,10.4895,48.8508
Witchcraft trial,10.8978,48.3705
Witchcraft trial,10.4895,48.8508
Witchcraft trial,10.9262,49.1746
Witchcraft trial,10.1213,48.1645
Witchcraft trial,10.8978,48.3705
Witchcraft trial,11.9601,49.1611
Witchcraft trial,10.8978,48.3705
Witchcraft trial,10.1802,47.9838
Witchcraft trial,10.8978,48.3705
Witchcraft trial,10.4108,48.4302
Witchcraft trial,11.9601,49.1611
Witchcraft trial,10.1802,47.9838
Witchcraft trial,10.8978,48.3705
Witchcraft trial,10.5672,48.6147
Witchcraft trial,10.4895,48.8508
Witchcraft trial,10.8978,48.3705
Witchcraft trial,12.9301,47.9347
Witchcraft trial,10.4895,48.8508
Witchcraft trial,10.6021,48.9518
Witchcraft trial,10.494,48.5791
Witchcraft trial,10.494,48.5791
Witchcraft trial,10.4713,48.9263
Witchcraft trial,10.1802,47.9838
Witchcraft trial,10.8943,47.815
Witchcraft trial,10.1802,47.9838
Witchcraft trial,10.6158,47.7785
