year,Antwerp,Amsterdam,London,Oxford,Paris,Strasbourg,Florence,Milan,Naples,Valencia,Madrid,Augsburg,Leipzig,Munich,Vienna,Gdansk,Krakow,Warsaw,Lwow,Hamburg
1444,14.85829235,,13.74034144,10.30525608,8.949211089,9.375857468,11.20898151,,,9.743101962,,,,9.326572642,13.28841487,,9.023175498,,,
1445,13.12313826,,11.7464592,8.809844398,12.3339371,9.558694255,13.25025147,,,9.424262308,,,,9.33311167,13.25367664,,9.025871954,,,
1446,12.75109889,,12.64882767,9.486620752,11.703994,9.559939301,14.36789524,,,9.057899345,,,,9.364828673,13.21984747,,9.028570023,,,
1447,14.86214654,,12.71263484,9.534476131,10.45432771,10.65501597,11.09984188,,,9.583613972,,,,9.364828673,13.2705337,,9.031269705,,,
1448,15.07602167,,12.72546811,9.54410108,11.4355893,8.573037216,10.60784419,,,10.53015277,,,,9.364828673,14.18499761,,9.033971002,,,
1449,14.95263245,,13.05912263,9.794341972,12.12883035,11.45062676,11.1234034,,,8.805874,,,,9.364828673,14.24179131,,9.036673915,,,
1450,15.68917606,,11.89853634,8.923902252,11.90350993,11.1123282,11.81473693,,,9.948127095,,,,8.908638752,14.81530105,,9.039378446,,,
1451,16.07325489,,12.36201782,9.271513366,11.64148345,11.11444237,10.71706737,,,10.10822556,,,,8.853216132,14.82687992,,9.042084597,,,
1452,14.60360067,,12.87457904,9.65593428,11.02214558,11.65639822,9.993874702,,,9.835464432,,,,8.24718302,14.01593669,,9.044792368,,,
1453,14.91512521,,12.97956763,9.734675723,12.80115498,11.40332029,9.969146066,,,10.02379718,,,,7.722444323,14.3068322,,9.047501762,,,
1454,14.88135774,,13.82206227,10.3665467,11.34716302,11.4049844,10.69254485,,,10.57911931,,,,9.246474213,13.47776844,,9.050212779,,,
1455,12.9453588,,13.18255337,9.886915029,9.683138981,8.926942699,9.957337609,,,10.62253022,,,,8.493069631,13.20670779,,9.052925422,,,
1456,11.41092477,,13.26277381,9.947080356,8.511175613,8.92824581,7.239502445,,,9.448892173,,,,8.291817894,13.08606602,,9.055639691,,,
1457,12.92377089,,12.65679693,9.4925977,9.121195891,8.929549302,7.689461582,,,9.530613325,,,,8.471673167,12.55969748,,9.058355588,,,
1458,14.85008355,,12.92867355,9.69650516,10.07334367,8.648506888,10.61242399,,,10.34413442,,,,8.8795282,10.83704548,,9.061073115,,,
1459,12.74066698,,13.14361943,9.857714573,9.370630383,8.545612271,14.19682578,,,9.94651233,,,,9.035668293,10.93517589,,9.063792273,,,
1460,13.85056665,,11.94572587,8.959294405,9.518809782,8.640250976,15.16111294,,,10.10762569,,,,8.530494827,11.13268523,,9.091677931,,,
1461,15.15985581,,11.74476169,8.808571268,9.813735114,11.51606601,15.20946032,,,10.48322084,,,,8.998592341,11.29703745,,9.066769969,,,
1462,17.10937348,,14.08799638,10.56599728,10.08036897,11.1705593,14.68570751,,,9.73201562,,,,9.778890529,11.26436407,,9.090380071,,,
1463,18.02277285,,14.16331298,10.62248473,9.539023356,9.209716682,10.74960222,,,9.540337035,,,,9.777782518,11.20275901,,9.088893693,,,
1464,16.24481099,,13.39438486,10.04578865,9.978220984,11.2909574,8.472980633,,,9.487841234,,,,10.25004279,11.30805067,,9.088893693,,,
1465,16.32394207,,13.00911364,9.75683523,10.1224045,11.31913459,7.895468874,,,10.15623231,,,,9.579849785,11.22732657,,9.088893693,,,
1466,16.01988237,,12.83050229,9.622876719,10.00932766,12.34002666,9.56912021,,,10.83249331,,,,9.240866892,10.88477562,,9.086552508,,,
1467,15.13288711,,12.79072696,9.593045223,11.36823471,11.35465723,10.28774395,,,9.681949737,,,,9.085818784,10.98934472,,9.07868237,,,
1468,14.57790476,,12.79628688,9.597215162,10.19256212,11.35649053,10.56540656,,,9.70438108,,,,9.077757838,11.34692723,,9.086321398,,,
1469,14.24784256,,12.39319393,9.294895447,9.588494358,11.22191898,10.93775438,,,9.548857471,,,,8.535605106,10.14225887,,9.097121644,,,
1470,15.56194801,,12.38501932,9.288764488,10.38031131,11.18380935,12.2830564,,,9.490135501,,,,9.370277382,10.5612002,,9.089233196,,,
